reaction	enzyme	gene
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	glrK
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PhoR	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ArcB	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase AtoS	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	evgS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PhoR	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ArcB	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase AtoS	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	rcsC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PhoR	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ArcB	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase AtoS	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	envZ
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PhoR	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ArcB	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase AtoS	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	dpiB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PhoR	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ArcB	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase AtoS	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	dcuS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PhoR	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ArcB	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase AtoS	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	creC
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PhoR	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ArcB	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase AtoS	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	btsS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PhoR	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ArcB	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase AtoS	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	basS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	basS
