Reaction,EC-Number,Substrates,Products of reaction,Enzymes of a reaction,Genes of a reaction,Pathways of a reaction
L-arabinitol + NAD+  <-->  L-xylulose + NADH + H+,EC-1.1.1.12,NAD<sup>+</sup> // L-arabinitol // L-xylulose // NADH // H<SUP>+</SUP>,L-xylulose // NADH // H<SUP>+</SUP>,,,L-arabinose degradation II
taurine + 2-oxoglutarate + dioxygen  ->  2-aminoacetaldehyde + sulfite + succinate + CO2 + H+,EC-1.14.11.17,dioxygen // 2-oxoglutarate // taurine // H<SUP>+</SUP> // 2-aminoacetaldehyde // sulfite // succinate // CO<SUB>2</SUB>,H<SUP>+</SUP> // 2-aminoacetaldehyde // sulfite // succinate // CO<SUB>2</SUB>,&alpha;-ketoglutarate-dependent taurine dioxygenase,tauD,taurine degradation IV
alpha-D-ribose 5-phosphate  ->  beta-D-ribose 5-phosphate,,&alpha;-D-ribose 5-phosphate // &beta;-D-ribose 5-phosphate,&beta;-D-ribose 5-phosphate,,,
kojibiose + phosphate  <-->  D-glucopyranose + beta-D-glucopyranose 1-phosphate,EC-2.4.1.230,phosphate // kojibiose // D-glucopyranose // &beta;-D-glucopyranose 1-phosphate,D-glucopyranose // &beta;-D-glucopyranose 1-phosphate,kojibiose phosphorylase,ycjT,
a pyrimidine nucleoside + H2O + H+  ->  a pyrimidine base + D-ribofuranose,EC-3.2.2.8,H<SUP>+</SUP> // H<sub>2</sub>O // a pyrimidine nucleoside // a pyrimidine base // D-ribofuranose,a pyrimidine base // D-ribofuranose,pyrimidine-specific ribonucleoside hydrolase RihB,rihB,
a [TusA sulfur-carrier protein]-S-sulfanyl-L-cysteine + a [TusD]-L-cysteine  ->  a [TusA]-L-cysteine + a [TusD sulfur-carrier protein]-S-sulfanyl-L-cysteine,EC-2.8.1,a [TusD]-L-cysteine // a [TusA sulfur-carrier protein]-S-sulfanyl-L-cysteine // a [TusA]-L-cysteine // a [TusD sulfur-carrier protein]-S-sulfanyl-L-cysteine,a [TusA]-L-cysteine // a [TusD sulfur-carrier protein]-S-sulfanyl-L-cysteine,sulfurtransferase TusA,tusA,tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>)
L-methionine + hydrogen peroxide  ->  L-methionine-(S)-S-oxide + H2O,,hydrogen peroxide // L-methionine // L-methionine-(<i>S</i>)-<i>S</i>-oxide // H<sub>2</sub>O,L-methionine-(<i>S</i>)-<i>S</i>-oxide // H<sub>2</sub>O,,,
L-aspartate + carbamoyl phosphate  ->  N-carbamoyl-L-aspartate + phosphate + H+,EC-2.1.3.2,carbamoyl phosphate // L-aspartate // H<SUP>+</SUP> // <i>N</i>-carbamoyl-L-aspartate // phosphate,H<SUP>+</SUP> // <i>N</i>-carbamoyl-L-aspartate // phosphate,"aspartate carbamoyltransferase catalytic subunit // aspartate carbamoyltransferase, regulatory subunit",pyrB // pyrI,UMP biosynthesis I
alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA (E. coli) + ADP-L-glycero-beta-D-manno-heptose  ->  heptosyl-Kdo2-lipid IVA + ADP + H+,,ADP-L-glycero-&beta;-D-<I>manno</I>-heptose // &alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB> (E. coli) // H<SUP>+</SUP> // heptosyl-Kdo<sub>2</sub>-lipid IV<sub>A</sub> // ADP,H<SUP>+</SUP> // heptosyl-Kdo<sub>2</sub>-lipid IV<sub>A</sub> // ADP,ADP-heptose:LPS heptosyltransferase 1,waaC,
CTP + a phosphatidate + H+  ->  a CDP-diacylglycerol + diphosphate,EC-2.7.7.41,H<SUP>+</SUP> // a phosphatidate // CTP // diphosphate // a CDP-diacylglycerol,diphosphate // a CDP-diacylglycerol,CDP-diglyceride synthetase,cdsA,CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis II
5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + ATP + hydrogen carbonate  ->  N5-carboxyaminoimidazole ribonucleotide + ADP + phosphate + 2 H+,EC-6.3.4.18,hydrogen carbonate // ATP // 5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole // H<SUP>+</SUP> // <i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide // ADP // phosphate,H<SUP>+</SUP> // <i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide // ADP // phosphate,5-(carboxyamino)imidazole ribonucleotide synthase,purK,inosine-5'-phosphate biosynthesis I
dodecanoyl-[acp] + H2O  ->  an acyl-carrier protein + dodecanoate + H+,EC-3.1.2.21,H<sub>2</sub>O // a dodecanoyl-[acp] // a soluble [acyl-carrier protein] // dodecanoate // H<SUP>+</SUP>,a soluble [acyl-carrier protein] // dodecanoate // H<SUP>+</SUP>,,,palmitate biosynthesis II (type II fatty acid synthase)
N-acetyl-L-glutamate + ATP  ->  N-acetylglutamyl-phosphate + ADP,EC-2.7.2.8,ATP // <i>N</i>-acetyl-L-glutamate // <i>N</i>-acetylglutamyl-phosphate // ADP,<i>N</i>-acetylglutamyl-phosphate // ADP,acetylglutamate kinase,argB,L-ornithine biosynthesis I
N-acetylneuraminate  =  N-acetyl-D-mannosamine + pyruvate,EC-4.1.3.3,<i>N</i>-acetylneuraminate // <i>N</i>-acetyl-D-mannosamine // pyruvate,<i>N</i>-acetyl-D-mannosamine // pyruvate,,,
(3Z)-dodec-3-enoyl-CoA  <-->  (2E)-dodec-2-enoyl-CoA,EC-5.3.3.8,(3Z)-dodec-3-enoyl-CoA // (2<i>E</i>)-dodec-2-enoyl-CoA,(2<i>E</i>)-dodec-2-enoyl-CoA,anaerobic multifunctional fatty acid oxidation complex subunit alpha // multifunctional fatty acid oxidation complex subunit alpha,,oleate &beta;-oxidation
acetoacetyl-[acyl-carrier protein] reductase,EC-1.1.1.100,NADP<sup>+</sup> // a (<i>3R</i>)-3-hydroxybutanoyl-[acp] // an acetoacetyl-[acp] // NADPH // H<SUP>+</SUP>,a (<i>3R</i>)-3-hydroxybutanoyl-[acp] // NADP<sup>+</sup>,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,palmitate biosynthesis II (type II fatty acid synthase)
succinyl-CoA + acetyl-CoA  <-->  3-oxoadipoyl-CoA + coenzyme A,EC-2.3.1.174,acetyl-CoA // succinyl-CoA // 3-oxoadipoyl-CoA // coenzyme A,3-oxoadipoyl-CoA // coenzyme A,&beta;-ketoadipyl-CoA thiolase,paaJ,phenylacetate degradation I (aerobic)
prephenate + S-adenosyl-L-methionine  ->  3-phenyl-2-oxopropanoate + S-adenosyl-S-carboxymethyl-L-homocysteine + H2O,,prephenate // <i>S</i>-adenosyl-L-methionine // 3-phenyl-2-oxopropanoate // <i>S</i>-adenosyl-<i>S</i>-carboxymethyl-L-homocysteine // H<sub>2</sub>O,3-phenyl-2-oxopropanoate // <i>S</i>-adenosyl-<i>S</i>-carboxymethyl-L-homocysteine // H<sub>2</sub>O,carboxy-S-adenosyl-L-methionine synthase,cmoA,5-(methoxycarbonylmethoxy)uridine biosynthesis
uroporphyrinogen-III + 4 H+  ->  4 CO2 + coproporphyrinogen III,EC-4.1.1.37,uroporphyrinogen-III // H<SUP>+</SUP> // CO<SUB>2</SUB> // coproporphyrinogen III,CO<SUB>2</SUB> // coproporphyrinogen III,uroporphyrinogen decarboxylase,hemE,heme <i>b</i> biosynthesis V (aerobic) // heme <i>b</i> biosynthesis II (oxygen-independent)
(S)-3-hydroxydecanoyl-CoA  <-->  (2E)-dec-2-enoyl-CoA + H2O,EC-4.2.1.74,(<i>S</i>)-3-hydroxydecanoyl-CoA // (2E)-dec-2-enoyl-CoA // H<sub>2</sub>O,(2E)-dec-2-enoyl-CoA // H<sub>2</sub>O,anaerobic multifunctional fatty acid oxidation complex subunit alpha // multifunctional fatty acid oxidation complex subunit alpha,,oleate &beta;-oxidation
UDP-alpha-D-galactose + glucosyl-(heptosyl)3-Kdo2-lipid A-bisphosphate (E. coli)  ->  galactosyl-(1->6)-glucosyl-(1->3)-(heptosyl)3-Kdo2-lipid A-bisphosphate (E. coli) + UDP + H+,EC-2.4.1,glucosyl-(heptosyl)<sub>3</sub>-Kdo<sub>2</sub>-lipid A-bisphosphate (<i>E. coli</i>) // UDP-&alpha;-D-galactose // H<SUP>+</SUP> // galactosyl-(1&rarr;6)-glucosyl-(1&rarr;3)-(heptosyl)<sub>3</sub>-Kdo<sub>2</sub>-lipid A-bisphosphate (<i>E. coli</i>) // UDP,H<SUP>+</SUP> // galactosyl-(1&rarr;6)-glucosyl-(1&rarr;3)-(heptosyl)<sub>3</sub>-Kdo<sub>2</sub>-lipid A-bisphosphate (<i>E. coli</i>) // UDP,"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase",waaB,lipid A-core biosynthesis (<i>E. coli</i> K-12)
(R)-NADHX  ->  (S)-NADHX,EC-5.1.99.6,(<i>R</i>)-NADHX // (<i>S</i>)-NADHX,(<i>S</i>)-NADHX,NAD(P)HX epimerase / NAD(P)HX dehydratase,nnr,
a uridine13 in tRNA  ->  a pseudouridine13 in tRNA,EC-5.4.99.27,a uridine<sup>13</sup> in tRNA // a pseudouridine<sup>13</sup> in tRNA,a pseudouridine<sup>13</sup> in tRNA,tRNA pseudouridine<sup>13</sup> synthase,truD,
NAD+ + H2O  ->  ADP-D-ribose + nicotinamide + H+,EC-3.2.2.5,H<sub>2</sub>O // NAD<sup>+</sup> // ADP-D-ribose // nicotinamide // H<SUP>+</SUP>,ADP-D-ribose // nicotinamide // H<SUP>+</SUP>,NAD+ glycohydrolase,,
(acetamidomethyl)phosphonate + ATP  ->  alpha-D-ribose 1-(acetamidomethylphosphonate) 5-triphosphate + adenine,EC-2.7.8.37,ATP // (acetamidomethyl)phosphonate // &alpha;-D-ribose 1-(acetamidomethylphosphonate) 5-triphosphate // adenine,&alpha;-D-ribose 1-(acetamidomethylphosphonate) 5-triphosphate // adenine,carbon-phosphorus lyase core complex subunit PhnI,phnI,(aminomethyl)phosphonate degradation
guanine + H+ + H2O  ->  xanthine + ammonium,EC-3.5.4.3,guanine // H<sub>2</sub>O // H<SUP>+</SUP> // xanthine // ammonium,xanthine // ammonium,guanine deaminase,guaD,guanosine nucleotides degradation III
"UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala + ADP + phosphate + H+",EC-6.3.2.45,"ATP // L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-D-alanine // UDP-<i>N</i>-acetyl-&alpha;-D-muramate // UDP-MurNAc-L-Ala-&gamma;-D-Glu-<i>meso</i>-DAP-D-Ala // ADP // phosphate // H<SUP>+</SUP>",UDP-MurNAc-L-Ala-&gamma;-D-Glu-<i>meso</i>-DAP-D-Ala // ADP // phosphate // H<SUP>+</SUP>,"UDP-<i>N</i>-acetylmuramate&mdash;L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminoheptanedioate ligase",mpl,
pimeloyl-[acp] methyl ester + H2O  ->  pimeloyl-[acp] + methanol + H+,EC-3.1.1.85,H<sub>2</sub>O // a pimeloyl-[acp] methyl ester // a pimeloyl-[acp] // methanol // H<SUP>+</SUP>,a pimeloyl-[acp] // methanol // H<SUP>+</SUP>,pimeloyl-acyl carrier protein methyl ester esterase,bioH,8-amino-7-oxononanoate biosynthesis I
glycolaldehyde + oxidized electron carrier  ->  glycolate + reduced two electron carrier + H+,EC-1.2.99,an oxidized electron carrier // glycolaldehyde // glycolate // a reduced two electron carrier // H<SUP>+</SUP>,glycolate // a reduced two electron carrier // H<SUP>+</SUP>,,,D-xylose degradation IV // L-arabinose degradation IV
sirohydrochlorin + Fe2+  ->  siroheme + 2 H+,EC-4.99.1.4,Fe<sup>2+</sup> // sirohydrochlorin // H<SUP>+</SUP> // siroheme,H<SUP>+</SUP> // siroheme,siroheme synthase,cysG,siroheme biosynthesis
(S)-ureidoglycolate + NAD+  ->  N-carbamoyl-2-oxoglycine + NADH + H+,EC-1.1.1.350,NAD<sup>+</sup> // (<i>S</i>)-ureidoglycolate // <i>N</i>-carbamoyl-2-oxoglycine // NADH // H<SUP>+</SUP>,<i>N</i>-carbamoyl-2-oxoglycine // NADH // H<SUP>+</SUP>,ureidoglycolate dehydrogenase,allD,allantoin degradation IV (anaerobic)
"iron(III)-enterobactin complex + 3 H2O + H+  ->  iron(III)-[N-(2,3-dihydroxybenzoyl)-L-serine] complex + 2 N-(2,3-dihydroxybenzoyl)-L-serine",EC-3.1.1.108,"H<SUP>+</SUP> // H<sub>2</sub>O // iron(III)-enterobactin complex // iron(III)-[<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine] complex // <i>N</i>-(2,3-dihydroxybenzoyl)-L-serine","iron(III)-[<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine] complex // <i>N</i>-(2,3-dihydroxybenzoyl)-L-serine",ferric enterobactin esterase,fes,
(3R)-3-hydroxydodecanoyl-[acp]  ->  (2E)-dodec-2-enoyl-[acp] + H2O,EC-4.2.1.59,a (<i>3R</i>)-3-hydroxydodecanoyl-[acp] // a (2<i>E</i>)-dodec-2-enoyl-[acp] // H<sub>2</sub>O,a (2<i>E</i>)-dodec-2-enoyl-[acp] // H<sub>2</sub>O,&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase // 3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,fabZ,palmitate biosynthesis II (type II fatty acid synthase)
"(4S)-4,5-dihydroxypentane-2,3-dione + ATP  ->  (2S)-2-hydroxy-3,4-dioxopentyl phosphate + ADP + H+",EC-2.7.1.189,"ATP // (4<i>S</i>)-4,5-dihydroxypentane-2,3-dione // H<SUP>+</SUP> // (2<i>S</i>)-2-hydroxy-3,4-dioxopentyl phosphate // ADP","H<SUP>+</SUP> // (2<i>S</i>)-2-hydroxy-3,4-dioxopentyl phosphate // ADP",autoinducer-2 kinase,lsrK,autoinducer AI-2 degradation
"an E. coli osmoregulated periplasmic glucan (OPG)[periplasm] + a phosphatidylethanolamine[periplasm]  ->  an E. coli osmoregulated periplasmic glucan with phosphotidylethanolamine substituent[periplasm] + a 1,2-diacyl-sn-glycerol[periplasm]",,"a phosphatidylethanolamine // an <i>E. coli</i> osmoregulated periplasmic glucan (OPG) // an <i>E. coli</i> osmoregulated periplasmic glucan with phosphotidylethanolamine substituent // a 1,2-diacyl-<i>sn</i>-glycerol","an <i>E. coli</i> osmoregulated periplasmic glucan with phosphotidylethanolamine substituent // a 1,2-diacyl-<i>sn</i>-glycerol",phosphoethanolamine transferase OpgE,opgE,
"malonyl-[acp] + 2,3,4-saturated fatty acyl-[acp] + H+  ->  an acyl-carrier protein + 3-oxoacyl-[acyl-carrier protein] + CO2",EC-2.3.1.179 // EC-2.3.1.41,"H<SUP>+</SUP> // a 2,3,4-saturated fatty acyl-[acp] // a malonyl-[acp] // a soluble [acyl-carrier protein] // a 3-oxoacyl-[acyl-carrier protein] // CO<SUB>2</SUB>",a soluble [acyl-carrier protein] // a 3-oxoacyl-[acyl-carrier protein] // CO<SUB>2</SUB>,3-oxoacyl-[acyl carrier protein] synthase 2 // 3-oxoacyl-[acyl carrier protein] synthase 1,fabB // fabF,fatty acid elongation -- saturated
L-proline + NAD(P)+  <-  (S)-1-pyrroline-5-carboxylate + NAD(P)H + 2 H+,EC-1.5.1.2,L-proline // NAD(P)<sup>+</sup> // NAD(P)H // (<i>S</i>)-1-pyrroline-5-carboxylate // H<SUP>+</SUP>,NAD(P)<sup>+</sup> // L-proline,pyrroline-5-carboxylate reductase,proC,L-proline biosynthesis I (from L-glutamate)
a phosphatidylglycerol + ATP  ->  a phosphatidylglycerophosphate + ADP + H+,EC-2.7.1,ATP // a phosphatidylglycerol // a phosphatidylglycerophosphate // ADP // H<SUP>+</SUP>,a phosphatidylglycerophosphate // ADP // H<SUP>+</SUP>,lipid kinase YegS,yegS,
aldehydo-D-galactose  <-->  D-galactopyranose,,<i>aldehydo</i>-D-galactose // D-galactopyranose,D-galactopyranose,,,
a 1-palmitoyl-2-acyl-sn-glycero-3-phosphocholine[periplasm] + alpha-D-Kdo-(2->4)-alpha-D-Kdo-(2->6)-lipid A (E. coli)[periplasm]  ->  a 1-lysophosphatidylcholine[periplasm] + hepta-acylated Kdo2 lipid A (E. coli)[periplasm],EC-2.3.1.251,&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A (<i>E. coli</i>) // a 1-palmitoyl-2-acyl-<i>sn</i>-glycero-3-phosphocholine // a 1-lysophosphatidylcholine // hepta-acylated Kdo<sub>2</sub> lipid A (<i>E. coli</i>),a 1-lysophosphatidylcholine // hepta-acylated Kdo<sub>2</sub> lipid A (<i>E. coli</i>),Lipid A palmitoyltransferase,pagP,
[IscU-Fe2+] + [IscS]2  ->  [IscS]2[IscU-Fe2+]2,,an IscS L-cysteine desulfurase // an IscU iron-sulfur cluster scaffold protein carrying an Fe<sup>2+</sup> atom // an [IscS L-cysteine desulfurase dimer][an IscU iron-sulfur cluster scaffold protein carrying an Fe<sup>2+</sup> atom]<sub>2</sub>,an [IscS L-cysteine desulfurase dimer][an IscU iron-sulfur cluster scaffold protein carrying an Fe<sup>2+</sup> atom]<sub>2</sub>,,,[2Fe-2S] iron-sulfur cluster biosynthesis (bacterial IscS system)
(S)-malate + NADP+  <-->  oxaloacetate + NADPH + H+,EC-1.1.1.82,NADP<sup>+</sup> // (<i>S</i>)-malate // H<SUP>+</SUP> // NADPH // oxaloacetate,H<SUP>+</SUP> // NADPH // oxaloacetate,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP<sup>+</sup>),maeB,
AMP + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + adenine,EC-2.4.2.7,AMP // diphosphate // 5-phospho-&alpha;-D-ribose 1-diphosphate // adenine,diphosphate // AMP,adenine phosphoribosyltransferase,apt,(aminomethyl)phosphonate degradation // adenine and adenosine salvage II
(indol-3-yl)acetaldehyde + NAD+ + H2O  ->  (indol-3-yl)acetate + NADH + 2 H+,EC-1.2.1.3,H<sub>2</sub>O // NAD<sup>+</sup> // (indol-3-yl)acetaldehyde // (indol-3-yl)acetate // NADH // H<SUP>+</SUP>,(indol-3-yl)acetate // NADH // H<SUP>+</SUP>,&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase,puuC,
"uridine2449 in 23S rRNA + NADH + H+  ->  a 5,6-dihydrouracil2449 in 23S rRNA + NAD+",EC-1.3.1,"NAD<sup>+</sup> // a 5,6-dihydrouracil<sup>2449</sup> in 23S rRNA // uridine<sup>2449</sup> in 23S rRNA // NADH // H<SUP>+</SUP>","a 5,6-dihydrouracil<sup>2449</sup> in 23S rRNA // NAD<sup>+</sup>",ribosomal dihydrouridine synthase A,rdsA,
chorismate  ->  4-hydroxybenzoate + pyruvate,EC-4.1.3.40,chorismate // 4-hydroxybenzoate // pyruvate,4-hydroxybenzoate // pyruvate,chorismate lyase,ubiC,4-hydroxybenzoate biosynthesis II (bacteria)
"2-dehydro-3-deoxy-D-gluconate + NAD+  <-->  3-deoxy-D-glycero-2,5-hexodiulosonate + NADH + H+",EC-1.1.1.127,"NAD<sup>+</sup> // 2-dehydro-3-deoxy-D-gluconate // 3-deoxy-D-glycero-2,5-hexodiulosonate // NADH // H<SUP>+</SUP>","3-deoxy-D-glycero-2,5-hexodiulosonate // NADH // H<SUP>+</SUP>",2-keto-3-deoxy-D-gluconate dehydrogenase,kduD,"3,6-anhydro-&alpha;-L-galactopyranose degradation"
glycolate + a quinone[inner membrane]  ->  glyoxylate + a quinol[inner membrane],EC-1.1.99.14,glycolate // an electron-transfer quinone // an electron-transfer quinol // glyoxylate,an electron-transfer quinol // glyoxylate,glycolate dehydrogenase,glcF // glcE // glcD,glycolate and glyoxylate degradation I // glycolate and glyoxylate degradation II
D-glucosamine + ATP  ->  D-glucosamine 6-phosphate + ADP + H+,EC-2.7.1.8,ATP // D-glucosamine // D-glucosamine 6-phosphate // ADP // H<SUP>+</SUP>,D-glucosamine 6-phosphate // ADP // H<SUP>+</SUP>,glucokinase,glk,
1-(5-phospho-beta-D-ribosyl)-AMP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide,EC-3.5.4.19,H<sub>2</sub>O // 1-(5-phospho-&beta;-D-ribosyl)-AMP // 1-(5-phospho-&beta;-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide,1-(5-phospho-&beta;-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide,putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase,hisI,L-histidine biosynthesis
a 2-lysophosphatidylethanolamine[periplasm] + H2O[periplasm]  ->  a carboxylate[periplasm] + sn-glycero-3-phosphoethanolamine[periplasm] + H+[periplasm],EC-3.1.1.5,H<sub>2</sub>O // a 2-lysophosphatidylethanolamine // a carboxylate // <i>sn</i>-glycero-3-phosphoethanolamine // H<SUP>+</SUP>,a carboxylate // <i>sn</i>-glycero-3-phosphoethanolamine // H<SUP>+</SUP>,lysophospholipase L2 // outer membrane phospholipase A,pldA // pldB,
thymidine + phosphate  <-->  2-deoxy-alpha-D-ribose 1-phosphate + thymine,EC-2.4.2.2 // EC-2.4.2.4,phosphate // thymidine // 2-deoxy-&alpha;-D-ribose 1-phosphate // thymine,2-deoxy-&alpha;-D-ribose 1-phosphate // thymine,nucleoside phosphorylase PpnP // thymidine phosphorylase,deoA // ppnP,pyrimidine deoxyribonucleosides degradation // salvage pathways of pyrimidine deoxyribonucleotides
"(S)-2,3,4,5-tetrahydrodipicolinate + H+ + H2O  <-->  L-alpha-amino-epsilon-keto-pimelate",EC-3.5.99,"H<sub>2</sub>O // (<i>S</i>)-2,3,4,5-tetrahydrodipicolinate // H<SUP>+</SUP> // L-&alpha;-amino-&epsilon;-keto-pimelate",L-&alpha;-amino-&epsilon;-keto-pimelate,,,
"a nascent peptidoglycan dimer (generic)  ->  a GlcNAc-1,6-anhydro-MurNAc-pentapeptide + a lipid II (containing a pentapeptide)",EC-4.2.2.29,"a nascent peptidoglycan dimer (generic) // a GlcNAc-1,6-anhydro-MurNAc-pentapeptide // a lipid II (containing a pentapeptide)","a GlcNAc-1,6-anhydro-MurNAc-pentapeptide // a lipid II (containing a pentapeptide)",,,
an adenosine34 in [tRNAArg2] + H+ + H2O  ->  an inosine34 in [tRNAArg2] + ammonium,EC-3.5.4,H<sub>2</sub>O // an adenosine<sup>34</sup> in [tRNA<sup>Arg2</sup>] // H<SUP>+</SUP> // an inosine<sup>34</sup> in [tRNA<sup>Arg2</sup>] // ammonium,an inosine<sup>34</sup> in [tRNA<sup>Arg2</sup>] // ammonium,tRNA adenosine<sup>34</sup> deaminase,tadA,
3-hydroxypropanal + NAD(P)+ + H2O  ->  3-hydroxypropanoate + NAD(P)H + 2 H+,EC-1.2.1.99,H<sub>2</sub>O // NAD(P)<sup>+</sup> // 3-hydroxypropanal // 3-hydroxypropanoate // NAD(P)H // H<SUP>+</SUP>,3-hydroxypropanoate // NAD(P)H // H<SUP>+</SUP>,&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase,puuC,
L-ornithine + ATP + H+  ->  (L-ornithyl)adenylate + diphosphate,,H<SUP>+</SUP> // ATP // L-ornithine // (L-ornithyl)adenylate // diphosphate,(L-ornithyl)adenylate // diphosphate,lysine&mdash;tRNA ligase,lysU,
D-mannopyranose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate,EC-5.3.1.8,D-mannopyranose 6-phosphate // &beta;-D-fructofuranose 6-phosphate,&beta;-D-fructofuranose 6-phosphate,mannose-6-phosphate isomerase,manA,D-mannose degradation I // GDP-mannose biosynthesis
N-acetyl-L-glutamate 5-semialdehyde + NADP+ + phosphate  <-->  N-acetylglutamyl-phosphate + NADPH + H+,EC-1.2.1.38,phosphate // NADP<sup>+</sup> // <i>N</i>-acetyl-L-glutamate 5-semialdehyde // H<SUP>+</SUP> // <i>N</i>-acetylglutamyl-phosphate // NADPH,H<SUP>+</SUP> // <i>N</i>-acetylglutamyl-phosphate // NADPH,N-acetylglutamylphosphate reductase,argC,L-ornithine biosynthesis I
acetyl-CoA + (7Z)-tetradecenoyl-CoA  <-->  coenzyme A + 3-oxo-(9Z)-hexadecenoyl-CoA,EC-2.3.1.16,(7Z)-tetradecenoyl-CoA // acetyl-CoA // coenzyme A // 3-oxo-(9Z)-hexadecenoyl-CoA,coenzyme A // 3-oxo-(9Z)-hexadecenoyl-CoA,3-ketoacyl-CoA thiolase // 3-ketoacyl-CoA thiolase FadI,fadA // fadI,
"a phosphatidylethanolamine[periplasm] + lipid A-core oligosaccharide (E. coli K-12 core type)[periplasm] + H+[periplasm]  ->  a 1,2-diacyl-sn-glycerol[periplasm] + lipid A-core oligosaccharide phosphoethanolamine (hep I)[periplasm]",EC-2.7.8,"H<SUP>+</SUP> // lipid A-core oligosaccharide (<i>E. coli</i> K-12 core type) // a phosphatidylethanolamine // a 1,2-diacyl-<i>sn</i>-glycerol // lipid A-core oligosaccharide phosphoethanolamine (hep I)","a 1,2-diacyl-<i>sn</i>-glycerol // lipid A-core oligosaccharide phosphoethanolamine (hep I)",phosphoethanolamine transferase EptC,eptC,
<small>L</small>-idonate 2-dehydrogenase,EC-1.1.1.264,NADP<sup>+</sup> // L-idonate // 5-dehydro-D-gluconate // NADPH // H<SUP>+</SUP>,5-dehydro-D-gluconate // NADPH // H<SUP>+</SUP>,L-idonate 5-dehydrogenase,,
methyl beta-D-glucoside 6-phosphate + H2O  ->  beta-D-glucose 6-phosphate + methanol,EC-3.2.1.86,H<sub>2</sub>O // methyl &beta;-D-glucoside 6-phosphate // &beta;-D-glucose 6-phosphate // methanol,&beta;-D-glucose 6-phosphate // methanol,6-phospho-&beta;-glucosidase A,bglA,
a [TusE sulfur carrier protein]-S-sulfanylcysteine + a [tRNA-uridine 2-sulfurtransferase]-L-cysteine  ->  a [tRNA-uridine 2-sulfurtransferase]-S-sulfanyl-L-cysteine + a [TusE sulfur carrier protein]-L-cysteine,EC-2.8.1,a [tRNA-uridine 2-sulfurtransferase]-L-cysteine // a [TusE sulfur carrier protein]-<i>S</i>-sulfanylcysteine // a [tRNA-uridine 2-sulfurtransferase]-<i>S</i>-sulfanyl-L-cysteine // a [TusE sulfur carrier protein]-L-cysteine,a [tRNA-uridine 2-sulfurtransferase]-<i>S</i>-sulfanyl-L-cysteine // a [TusE sulfur carrier protein]-L-cysteine,sulfur transfer protein TusE,tusE,tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>)
GDP-alpha-D-mannose  ->  GDP-4-dehydro-alpha-D-rhamnose + H2O,EC-4.2.1.47,GDP-&alpha;-D-mannose // H<sub>2</sub>O // GDP-4-dehydro-&alpha;-D-rhamnose,H<sub>2</sub>O // GDP-4-dehydro-&alpha;-D-rhamnose,"GDP-mannose 4,6-dehydratase",gmd,GDP-L-fucose biosynthesis I (from GDP-D-mannose)
(S)-3-hydroxydodecanoyl-CoA + NAD+  <-->  3-oxododecanoyl-CoA + NADH + H+,EC-1.1.1.35 // EC-1.1.1.211,NAD<sup>+</sup> // (S)-3-hydroxydodecanoyl-CoA // 3-oxododecanoyl-CoA // NADH // H<SUP>+</SUP>,3-oxododecanoyl-CoA // NADH // H<SUP>+</SUP>,multifunctional fatty acid oxidation complex subunit alpha // anaerobic multifunctional fatty acid oxidation complex subunit alpha,,oleate &beta;-oxidation
